"UID","Date","country_name","ISO3","Confirmed","Recovered","Deaths"
"104","1/22/2020","Madagascar","MDG","0","0","0"
"105","1/22/2020","Malawi","MWI","0","0","0"
"106","1/22/2020","Malaysia","MYS","0","0","0"
"107","1/22/2020","Maldives","MDV","0","0","0"
"108","1/22/2020","Mali","MLI","0","0","0"
"109","1/22/2020","Malta","MLT","0","0","0"
"110","1/22/2020","Mauritania","MRT","0","0","0"
"111","1/22/2020","Mauritius","MUS","0","0","0"
"112","1/22/2020","Mexico","MEX","0","0","0"
"113","1/22/2020","Moldova","MDA","0","0","0"
"114","1/22/2020","Monaco","MCO","0","0","0"
"115","1/22/2020","Mongolia","MNG","0","0","0"
"116","1/22/2020","Montenegro","MNE","0","0","0"
"117","1/22/2020","Morocco","MAR","0","0","0"
"118","1/22/2020","Mozambique","MOZ","0","0","0"
"119","1/22/2020","Namibia","NAM","0","0","0"
"120","1/22/2020","Nepal","NPL","0","0","0"
"121","1/22/2020","Netherlands","NLD","0","0","0"
"122","1/22/2020","New Zealand","NZL","0","0","0"
"123","1/22/2020","Nicaragua","NIC","0","0","0"
"124","1/22/2020","Niger","NER","0","0","0"
"125","1/22/2020","Nigeria","NGA","0","0","0"
"126","1/22/2020","North Macedonia","MKD","0","0","0"
"127","1/22/2020","Norway","NOR","0","0","0"
"128","1/22/2020","Oman","OMN","0","0","0"
"129","1/22/2020","Pakistan","PAK","0","0","0"
"130","1/22/2020","Panama","PAN","0","0","0"
"131","1/22/2020","Papua New Guinea","PNG","0","0","0"
"132","1/22/2020","Paraguay","PRY","0","0","0"
"133","1/22/2020","Peru","PER","0","0","0"
"134","1/22/2020","Philippines","PHL","0","0","0"
"135","1/22/2020","Poland","POL","0","0","0"
"136","1/22/2020","Portugal","PRT","0","0","0"
"137","1/22/2020","Qatar","QAT","0","0","0"
"138","1/22/2020","Romania","ROU","0","0","0"
"139","1/22/2020","Russia","RUS","0","0","0"
"140","1/22/2020","Rwanda","RWA","0","0","0"
"141","1/22/2020","Saint Kitts and Nevis","KNA","0","0","0"
"142","1/22/2020","Saint Lucia","LCA","0","0","0"
"143","1/22/2020","Saint Vincent and the Grenadines","VCT","0","0","0"
"144","1/22/2020","San Marino","SMR","0","0","0"
"145","1/22/2020","Sao Tome and Principe","STP","0","0","0"
"146","1/22/2020","Saudi Arabia","SAU","0","0","0"
"147","1/22/2020","Senegal","SEN","0","0","0"
"148","1/22/2020","Serbia","SRB","0","0","0"
"149","1/22/2020","Seychelles","SYC","0","0","0"
"150","1/22/2020","Sierra Leone","SLE","0","0","0"
"151","1/22/2020","Singapore","SGP","0","0","0"
"152","1/22/2020","Slovakia","SVK","0","0","0"
"153","1/22/2020","Slovenia","SVN","0","0","0"
"154","1/22/2020","Somalia","SOM","0","0","0"
"155","1/22/2020","South Africa","ZAF","0","0","0"
"156","1/22/2020","South Sudan","SSD","0","0","0"
"157","1/22/2020","Spain","ESP","0","0","0"
"158","1/22/2020","Sri Lanka","LKA","0","0","0"
"159","1/22/2020","Sudan","SDN","0","0","0"
"160","1/22/2020","Suriname","SUR","0","0","0"
"161","1/22/2020","Sweden","SWE","0","0","0"
"162","1/22/2020","Switzerland","CHE","0","0","0"
"163","1/22/2020","Syria","SYR","0","0","0"
"164","1/22/2020","Taiwan*","TWN","1","0","0"
"165","1/22/2020","Tanzania","TZA","0","0","0"
"166","1/22/2020","Thailand","THA","2","0","0"
"167","1/22/2020","Timor-Leste","TLS","0","0","0"
"168","1/22/2020","Togo","TGO","0","0","0"
"169","1/22/2020","Trinidad and Tobago","TTO","0","0","0"
"170","1/22/2020","Tunisia","TUN","0","0","0"
"171","1/22/2020","Turkey","TUR","0","0","0"
"172","1/22/2020","US","USA","1","0","0"
"173","1/22/2020","Uganda","UGA","0","0","0"
"174","1/22/2020","Ukraine","UKR","0","0","0"
"175","1/22/2020","United Arab Emirates","ARE","0","0","0"
"176","1/22/2020","United Kingdom","GBR","0","0","0"
"177","1/22/2020","Uruguay","URY","0","0","0"
"178","1/22/2020","Uzbekistan","UZB","0","0","0"
"179","1/22/2020","Venezuela","VEN","0","0","0"
"180","1/22/2020","Vietnam","VNM","0","0","0"
"181","1/22/2020","West Bank and Gaza","PSE","0","0","0"
"182","1/22/2020","Western Sahara","ESH","0","0","0"
"183","1/22/2020","Yemen","YEM","0","0","0"
"184","1/22/2020","Zambia","ZMB","0","0","0"
"185","1/22/2020","Zimbabwe","ZWE","0","0","0"
"186","1/23/2020","Afghanistan","AFG","0","0","0"
"187","1/23/2020","Albania","ALB","0","0","0"
"188","1/23/2020","Algeria","DZA","0","0","0"
"189","1/23/2020","Andorra","AND","0","0","0"
"190","1/23/2020","Angola","AGO","0","0","0"
"191","1/23/2020","Antigua and Barbuda","ATG","0","0","0"
"192","1/23/2020","Argentina","ARG","0","0","0"
"193","1/23/2020","Armenia","ARM","0","0","0"
"194","1/23/2020","Australia","AUS","0","0","0"
"195","1/23/2020","Austria","AUT","0","0","0"
"196","1/23/2020","Azerbaijan","AZE","0","0","0"
"197","1/23/2020","Bahamas","BHS","0","0","0"
"198","1/23/2020","Bahrain","BHR","0","0","0"
"199","1/23/2020","Bangladesh","BGD","0","0","0"
"200","1/23/2020","Barbados","BRB","0","0","0"
"201","1/23/2020","Belarus","BLR","0","0","0"
"202","1/23/2020","Belgium","BEL","0","0","0"
"203","1/23/2020","Belize","BLZ","0","0","0"
"204","1/23/2020","Benin","BEN","0","0","0"
"205","1/23/2020","Bhutan","BTN","0","0","0"
"206","1/23/2020","Bolivia","BOL","0","0","0"
"207","1/23/2020","Bosnia and Herzegovina","BIH","0","0","0"
"208","1/23/2020","Botswana","BWA","0","0","0"
"209","1/23/2020","Brazil","BRA","0","0","0"
"210","1/23/2020","Brunei","BRN","0","0","0"
"211","1/23/2020","Bulgaria","BGR","0","0","0"
